id,strategy
00000001,Biakabutuka
00000001,Darboh
00000002,Darboh
00000002,Nordin
00000003,Darboh
00000003,Zoltan
00000005,Denard
00000005,Grbac
00000005,Henne
00000007,Darboh
00000007,Denard
00000009,Woodson
00000010,Darboh
00000011,Denard
00000011,Grbac
00000011,Henne
00000012,Biakabutuka
00000012,Brady
00000012,Darboh
00000012,Woodson
00000013,Brady
00000013,Woodson
00000014,Biakabutuka
00000014,Brady
00000014,Woodson
00000016,Nordin
00000018,Biakabutuka
00000018,Darboh
00000018,Woodson
00000019,Darboh
00000020,Nordin
00000022,Darboh
00000022,Nordin
00000023,Darboh
00000025,Darboh
00000027,Darboh
00000027,Nordin
00000028,Darboh
00000030,Darboh
00000030,Woodson
00000031,Darboh
00000032,Darboh
00000033,Biakabutuka
00000033,Brady
00000033,Woodson
00000034,Darboh
00000036,Darboh
00000038,Brady
00000038,Woodson
00000040,Darboh
00000041,Zoltan
00000045,Nordin
00000047,Brady
00000047,Darboh
00000047,Woodson
00000050,Darboh
00000052,Nordin
00000054,Nordin
00000055,Darboh
00000056,Denard
00000056,Grbac
00000056,Henne
00000058,Biakabutuka
00000058,Darboh
00000058,Woodson
00000059,Darboh
00000060,Darboh
00000061,Biakabutuka
00000061,Brady
00000061,Woodson
00000062,Zoltan
00000065,Woodson
00000066,Darboh
00000067,Biakabutuka
00000067,Brady
00000067,Darboh
00000067,Woodson
00000069,Funchess
00000069,Peppers
00000070,Biakabutuka
00000070,Brady
00000070,Woodson
00000071,Darboh
00000071,Woodson
00000072,Biakabutuka
00000072,Woodson
00000073,Zoltan
00000074,Darboh
00000075,Darboh
00000078,Darboh
00000078,Hurst
00000080,Biakabutuka
00000080,Funchess
00000080,Peppers
00000081,Denard
00000081,Grbac
00000081,Henne
00000082,Darboh
00000082,Nordin
00000083,Hurst
00000083,Woodson
00000084,Darboh
00000086,Nordin
00000087,Denard
00000087,Grbac
00000087,Henne
00000088,Zoltan
00000090,Darboh
00000091,Darboh
00000091,Zoltan
00000092,Zoltan
00000095,Denard
00000095,Grbac
00000095,Henne
00000096,Darboh
00000096,Henne
00000097,Darboh
00000097,Hurst
00000098,Darboh
00000100,Biakabutuka
00000100,Brady
00000100,Woodson
00000101,Biakabutuka
00000101,Brady
00000101,Woodson
00000104,Nordin
00000105,Darboh
00000105,Zoltan
00000106,Darboh
00000106,Nordin
00000108,Darboh
00000109,Darboh
00000111,Biakabutuka
